rank,finalWorth (million dollars),category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,birthYear,birthMonth,birthDay
611,"$4,500.00",Finance & Investments,David Velez & family,41,Brazil,Sao Paulo,Fintech,Finance & Investments,Colombia,TRUE,D,M,Velez,David,,1981,10,2
611,"$4,500.00",Manufacturing,Xu Jinfu,59,China,Guangzhou,Chemicals,Manufacturing,China,TRUE,D,M,Xu,Jinfu,,1964,1,1
611,"$4,500.00",Diversified,Samuel Yin,72,Taiwan,Taipei,Retail,Diversified,Taiwan,FALSE,D,M,Yin,Samuel,,1950,8,16
611,"$4,500.00",Manufacturing,You Xiaoping & family,65,China,Wenzhou,"Chemicals, spandex",Manufacturing,China,TRUE,D,M,You,Xiaoping,,1958,1,21
624,"$4,400.00",Healthcare,Stéphane Bancel,50,United States,Boston,"Biotech, vaccines",Healthcare,France,TRUE,D,M,Bancel,Stéphane,,1972,7,20
624,"$4,400.00",Technology,Margot Birmingham Perot,89,United States,Dallas,"Computer services, real estate",Technology,United States,FALSE,U,F,Birmingham Perot,Margot,,1933,11,15
624,"$4,400.00",Manufacturing,Neal Blue & family,88,United States,San Diego,Defense,Manufacturing,United States,TRUE,U,M,Blue,Neal,,1935,4,4
624,"$4,400.00",Service,Jim Davis,63,United States,Cockeysville,Staffing & recruiting,Service,United States,TRUE,U,M,Davis,Jim,,1960,3,13
624,"$4,400.00",Construction & Engineering,Rafael Del Pino,64,Spain,Madrid,Construction,Construction & Engineering,Spain,FALSE,U,M,Del Pino,Rafael,,1958,7,18
624,"$4,400.00",Healthcare,Peter Grogg,81,Switzerland,Liestal,Biochemicals,Healthcare,Switzerland,TRUE,D,M,Grogg,Peter,,1942,1,10
624,"$4,400.00",Fashion & Retail,Christian Haub,58,Germany,Munich,Retail,Fashion & Retail,Germany,FALSE,E,M,Haub,Christian,,1964,7,22
624,"$4,400.00",Real Estate,Mangal Prabhat Lodha,67,India,Mumbai,Real estate,Real Estate,India,TRUE,D,M,Lodha,Mangal Prabhat,,1955,12,1
624,"$4,400.00",Sports,Jeffrey Lurie & family,71,United States,Wynnewood,Philadelphia Eagles,Sports,United States,FALSE,U,M,Lurie,Jeffrey,,1951,9,8
624,"$4,400.00",Finance & Investments,Joe Mansueto,66,United States,Chicago,Investment research,Finance & Investments,United States,TRUE,D,M,Mansueto,Joe,"Entrepreneur, Investor",1956,9,3
624,"$4,400.00",Manufacturing,Qian Dongqi & family,65,China,Suzhou,Home-cleaning robots,Manufacturing,China,TRUE,D,M,Qian,Dongqi,,1958,1,1
624,"$4,400.00",Metals & Mining,Mikhail Shelkov,54,Russia,Moscow,Titanium,Metals & Mining,Russia,TRUE,U,M,Shelkov,Mikhail,,1968,5,30
636,"$4,300.00",Telecom,Patrick Drahi,59,Switzerland,Zermatt,Telecom,Telecom,France,TRUE,D,M,Drahi,Patrick,,1963,8,20
636,"$4,300.00",Finance & Investments,Behdad Eghbali,46,United States,Los Angeles,Private equity,Finance & Investments,United States,TRUE,U,M,Eghbali,Behdad,,1976,5,6
636,"$4,300.00",Finance & Investments,Juan Carlos Escotet,63,Spain,A Coruña,Banking,Finance & Investments,Venezuela,TRUE,U,M,Escotet,Juan Carlos,,1959,7,23
636,"$4,300.00",Finance & Investments,Jose E. Feliciano,49,United States,Los Angeles,Private equity,Finance & Investments,United States,TRUE,U,M,Feliciano,Jose E.,,1973,5,29
636,"$4,300.00",Healthcare,Hu Kaijun,61,China,Beijing,Pharmaceuticals,Healthcare,China,TRUE,U,M,Hu,Kaijun,,1962,1,1
636,"$4,300.00",Logistics,Johnelle Hunt,91,United States,Fayetteville,Trucking,Logistics,United States,TRUE,D,F,Hunt,Johnelle,,1932,1,4
636,"$4,300.00",Food & Beverage,Marian Ilitch,90,United States,Bingham Farms,Little Caesars Pizza,Food & Beverage,United States,TRUE,D,F,Ilitch,Marian,,1933,1,7
636,"$4,300.00",Diversified,Daryl Katz,61,Canada,Edmonton,Pharmacies,Diversified,Canada,TRUE,D,M,Katz,Daryl,Founder and Chairman,1961,9,1
636,"$4,300.00",Metals & Mining,Andrei Kozitsyn,62,Russia,Verkhniaya Pyshma,Metals,Metals & Mining,Russia,TRUE,U,M,Kozitsyn,Andrei,,1960,6,9
636,"$4,300.00",Finance & Investments,Timur Kulibaev,56,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,TRUE,U,M,Kulibaev,Timur,,1966,9,10
636,"$4,300.00",Finance & Investments,Dinara Kulibaeva,55,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,FALSE,U,F,Kulibaeva,Dinara,,1967,8,19
636,"$4,300.00",Real Estate,Ian Livingstone,60,,,Real estate,Real Estate,United Kingdom,TRUE,Split Family Fortune,M,Livingstone,Ian,,1962,5,22
636,"$4,300.00",Real Estate,Richard Livingstone,58,,,Real estate,Real Estate,United Kingdom,TRUE,Split Family Fortune,M,Livingstone,Richard,,1964,11,29
636,"$4,300.00",Food & Beverage,Gwendolyn Sontheim Meyer,61,United States,Rancho Santa Fe,Cargill,Food & Beverage,United States,FALSE,D,F,Meyer,Gwendolyn Sontheim,,1961,10,27
636,"$4,300.00",Real Estate,Jay Paul,75,United States,San Francisco,Real estate,Real Estate,United States,TRUE,U,M,Paul,Jay,,1947,7,8
636,"$4,300.00",Diversified,Pham Nhat Vuong,54,Vietnam,Hanoi,Diversified,Diversified,Vietnam,TRUE,D,M,Pham,Nhat Vuong,,1968,8,5
636,"$4,300.00",Healthcare,Jon Stryker,64,United States,New York,Medical equipment,Healthcare,United States,FALSE,U,M,Stryker,Jon,,1958,5,3
636,"$4,300.00",Finance & Investments,Daniel Tsai,66,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,FALSE,D,M,Tsai,Daniel,,1956,4,25
636,"$4,300.00",Finance & Investments,Richard Tsai,65,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,FALSE,D,M,Tsai,Richard,,1957,6,2
636,"$4,300.00",Technology,Frank Wang,42,China,Shenzhen,Drones,Technology,China,TRUE,D,M,Wang,Frank,Founder and CEO,1980,10,30
636,"$4,300.00",Manufacturing,Wang Junshi & family,74,China,Ningbo,Solar inverters,Manufacturing,China,TRUE,D,M,Wang,Junshi,,1949,1,1
636,"$4,300.00",Technology,Wang Wenjing,58,China,Beijing,Business software,Technology,China,TRUE,D,M,Wang,Wenjing,,1964,12,5
636,"$4,300.00",Finance & Investments,Herbert Wertheim,83,United States,Coral Gables,Investments,Finance & Investments,United States,TRUE,U,M,Wertheim,Herbert,,1939,5,23
659,"$4,200.00",Service,Shari Arison,65,Israel,Tel Aviv,Carnival Cruises,Service,Israel,FALSE,D,F,Arison,Shari,"Investor, Philanthropist",1957,9,9
659,"$4,200.00",Finance & Investments,Pyotr Aven,68,Latvia,,"Oil, banking, telecom",Finance & Investments,Russia,TRUE,D,M,Aven,Pyotr,,1955,3,16
659,"$4,200.00",Real Estate,Chan Laiwa & family,82,China,Beijing,Real estate,Real Estate,China,TRUE,D,F,Chan,Laiwa,Philanthropist,1941,1,1
659,"$4,200.00",Real Estate,Chen Hua,57,China,Shenzhen,Real estate,Real Estate,China,TRUE,U,M,Chen,Hua,,1966,1,1
659,"$4,200.00",Finance & Investments,Thomas Hagen,87,United States,Erie,Insurance,Finance & Investments,United States,FALSE,U,M,Hagen,Thomas,,1936,1,1
659,"$4,200.00",Finance & Investments,"Rupert Johnson, Jr.",82,United States,Burlingame,Franklin Templeton,Finance & Investments,United States,FALSE,D,M,Johnson,Rupert,Vice Chairman and Director,1940,8,10
659,"$4,200.00",Energy,Dewi Kam,72,Indonesia,Jakarta,Coal,Energy,Indonesia,TRUE,N,F,Kam,Dewi,,1950,7,23
659,"$4,200.00",Technology,Min Kao & family,74,United States,Leawood,Navigation equipment,Technology,United States,TRUE,D,M,Kao,Min,,1949,1,10
659,"$4,200.00",Finance & Investments,Marc Ladreit de Lacharriere,82,France,Paris,Finance,Finance & Investments,France,TRUE,U,M,Ladreit de Lacharriere,Marc,,1940,11,6
659,"$4,200.00",Technology,Eric Lefkofsky,53,United States,Glencoe,"Groupon, investments",Technology,United States,TRUE,U,M,Lefkofsky,Eric,Chairman,1969,9,2
659,"$4,200.00",Technology,Lin Bin,55,China,Shenzhen,Smartphones,Technology,United States,TRUE,D,M,Lin,Bin,,1968,2,1
659,"$4,200.00",Finance & Investments,Lin Li,59,China,Shenzhen,Investments,Finance & Investments,China,TRUE,D,M,Lin,Li,,1963,5,1
659,"$4,200.00",Technology,Michael Moritz,68,United States,San Francisco,Venture capital,Technology,United States,TRUE,D,M,Moritz,Michael,Investor,1954,9,12
659,"$4,200.00",Service,Jean (Gigi) Pritzker,60,United States,Los Angeles,"Hotels, investments",Service,United States,FALSE,U,F,Pritzker,Jean (Gigi),,1962,7,1
659,"$4,200.00",Automotive,E. Joe Shoen,73,United States,Phoenix,U-Haul,Automotive,United States,FALSE,U,M,Shoen,E. Joe,,1949,10,28
659,"$4,200.00",Technology,Jeff Skoll,58,United States,Los Angeles,EBay,Technology,United States,TRUE,D,M,Skoll,Jeff,,1965,1,16
659,"$4,200.00",Food & Beverage,Lynsi Snyder,40,United States,Glendora,In-N-Out Burger,Food & Beverage,United States,FALSE,E,F,Snyder,Lynsi,,1982,5,5
659,"$4,200.00",Fashion & Retail,Djoko Susanto,73,Indonesia,Jakarta,Supermarkets,Fashion & Retail,Indonesia,TRUE,U,M,Susanto,Djoko,,1950,2,9
659,"$4,200.00",Diversified,Tahir & family,71,Indonesia,Jakarta,Diversified,Diversified,Indonesia,TRUE,U,M,Tahir,,,1952,3,26
659,"$4,200.00",Finance & Investments,Peter Thiel,55,United States,Los Angeles,"Facebook, investments",Finance & Investments,United States,TRUE,D,M,Thiel,Peter,Investor,1967,10,11
679,"$4,100.00",Food & Beverage,Andrej Babis,68,Czech Republic,Prague,Agriculture,Food & Beverage,Czech Republic,TRUE,D,M,Babis,Andrej,,1954,9,2
679,"$4,100.00",Service,Danielle Bellon & family,83,France,Paris,Food services,Service,France,FALSE,U,F,Bellon,Danielle,,1940,2,8
679,"$4,100.00",Media & Entertainment,Hubert Burda,83,Germany,Munich,Publishing,Media & Entertainment,Germany,FALSE,U,M,Burda,Hubert,,1940,2,9
679,"$4,100.00",Food & Beverage,Nick Caporella,87,United States,Plantation,Beverages,Food & Beverage,United States,TRUE,U,M,Caporella,Nick,,1936,1,15
679,"$4,100.00",Energy,John Catsimatidis,74,United States,New York,"Oil, real estate",Energy,United States,TRUE,U,M,Catsimatidis,John,,1948,9,7
679,"$4,100.00",Technology,Scott Cook,70,United States,Woodside,Software,Technology,United States,TRUE,D,M,Cook,Scott,,1952,7,26
679,"$4,100.00",Food & Beverage,Luca Garavoglia,54,Italy,Milan,Spirits,Food & Beverage,Italy,FALSE,U,M,Garavoglia,Luca,,1969,2,27
679,"$4,100.00",Manufacturing,Antti Herlin,66,Finland,Kirkkonummi,"Elevators, escalators",Manufacturing,Finland,FALSE,D,M,Herlin,Antti,,1956,11,14
679,"$4,100.00",Manufacturing,Hong Jie,55,China,Putian,Paint,Manufacturing,China,TRUE,U,M,Hong,Jie,,1967,10,1
679,"$4,100.00",Service,"Jeremy Jacobs, Sr. & family",83,United States,East Aurora,Food service,Service,United States,FALSE,U,M,Jacobs,Jeremy,,1940,1,21
679,"$4,100.00",Fashion & Retail,Igor Kesaev,56,Russia,Moscow,"Tobacco distribution, retail",Fashion & Retail,Russia,TRUE,U,M,Kesaev,Igor,,1966,10,30
679,"$4,100.00",Food & Beverage,Mary Alice Dorrance Malone,73,United States,Coatesville,Campbell Soup,Food & Beverage,United States,FALSE,U,F,Malone,Mary Alice Dorrance,,1950,2,3
679,"$4,100.00",Diversified,Joao Moreira Salles,61,Brazil,Rio de Janeiro,"Banking, minerals",Diversified,Brazil,FALSE,U,M,Moreira Salles,Joao,,1962,1,1
679,"$4,100.00",Finance & Investments,Walther Moreira Salles Junior,66,Brazil,Rio de Janeiro,"Banking, minerals",Finance & Investments,Brazil,FALSE,U,M,Moreira Salles Junior,Walther,,1956,4,12
679,"$4,100.00",Sports,Arturo Moreno,76,United States,Phoenix,"Billboards, Los Angeles Angels",Sports,United States,TRUE,U,M,Moreno,Arturo,,1946,8,14
679,"$4,100.00",Manufacturing,Peter Spuhler,63,Switzerland,Weiningen,Train cars,Manufacturing,Switzerland,TRUE,D,M,Spuhler,Peter,,1959,9,1
679,"$4,100.00",Real Estate,Donald Sterling,88,United States,Beverly Hills,Real estate,Real Estate,United States,TRUE,U,M,Sterling,Donald,,1934,4,26
679,"$4,100.00",Diversified,Kerry Stokes,82,Australia,Perth,"Construction equipment, media",Diversified,Australia,TRUE,D,M,Stokes,Kerry,,1940,9,13
679,"$4,100.00",Technology,Ken Xie,60,United States,Los Altos Hills,Cybersecurity,Technology,United States,TRUE,D,M,Xie,Ken,,1963,1,26
679,"$4,100.00",Healthcare,Liangzhi Xie & family,57,China,Beijing,Biotech,Healthcare,China,TRUE,D,M,Xie,Liangzhi,,1966,1,1
699,"$4,000.00",Energy,Sid Bass,80,United States,Fort Worth,"Oil, investments",Energy,United States,FALSE,U,M,Bass,Sid,,1942,4,9
699,"$4,000.00",Technology,Ben Chestnut,48,United States,Atlanta,Email marketing,Technology,United States,TRUE,D,M,Chestnut,Ben,,1974,6,15
699,"$4,000.00",Food & Beverage,Elisabeth DeLuca & family,75,United States,,Subway,Food & Beverage,United States,FALSE,N,F,DeLuca,Elisabeth,,1947,7,25
699,"$4,000.00",Diversified,Guangchang Guo,56,China,Shanghai,Conglomerate,Diversified,China,TRUE,D,M,Guo,Guangchang,,1967,2,16
699,"$4,000.00",Manufacturing,Vinod Rai Gupta,77,India,Delhi,Electrical equipment,Manufacturing,India,FALSE,U,F,Gupta,Vinod Rai,,1945,9,15
699,"$4,000.00",Sports,John Henry,73,United States,Boca Raton,Sports,Sports,United States,TRUE,U,M,Henry,John,,1949,9,13
699,"$4,000.00",Technology,Travis Kalanick,46,United States,Los Angeles,Uber,Technology,United States,TRUE,U,M,Kalanick,Travis,Cofounder,1976,8,6
699,"$4,000.00",Manufacturing,Koon Poh Keong,61,Malaysia,Petaling Jaya,Aluminum,Manufacturing,Malaysia,TRUE,D,M,Koon,Poh Keong,,1961,4,25
699,"$4,000.00",Technology,Dan Kurzius,51,United States,Atlanta,Email marketing,Technology,United States,TRUE,D,M,Kurzius,Dan,,1971,12,1
699,"$4,000.00",Manufacturing,Paul Lee,65,China,Yuxi,Battery separators,Manufacturing,United States,TRUE,D,M,Lee,Paul,,1958,1,1
699,"$4,000.00",Technology,Tobi Lutke,42,Canada,Ottawa,E-commerce,Technology,Canada,TRUE,D,M,Lutke,Tobi,,1980,7,16
699,"$4,000.00",Automotive,Gail Miller,79,United States,Salt Lake City,Car dealerships,Automotive,United States,TRUE,U,F,Miller,Gail,,1943,10,14
699,"$4,000.00",Telecom,Rajan Mittal,63,India,Delhi,Telecom,Telecom,India,FALSE,Split Family Fortune,M,Mittal,Rajan,,1960,1,5
699,"$4,000.00",Telecom,Rakesh Mittal,67,India,Delhi,Telecom,Telecom,India,FALSE,Split Family Fortune,M,Mittal,Rakesh,,1955,9,18
699,"$4,000.00",Media & Entertainment,Isaac Perlmutter,80,United States,Palm Beach,Marvel comics,Media & Entertainment,United States,TRUE,D,M,Perlmutter,Isaac,Chairman,1942,12,1
699,"$4,000.00",Finance & Investments,"Bernard Saul, II.",90,United States,Chevy Chase,"Banking, real estate",Finance & Investments,United States,FALSE,U,M,Saul,Bernard,Chairman and CEO,1932,4,15
699,"$4,000.00",Telecom,Shaul Shani,68,Italy,Milan,Telecom,Telecom,Israel,TRUE,D,M,Shani,Shaul,,1955,1,1
699,"$4,000.00",Media & Entertainment,Steven Spielberg,76,United States,Pacific Palisades,Movies,Media & Entertainment,United States,TRUE,U,M,Spielberg,Steven,,1946,12,18
699,"$4,000.00",Healthcare,Jerzy Starak,75,Poland,Konstancin,Pharmaceuticals,Healthcare,Poland,TRUE,E,M,Starak,Jerzy,,1947,12,12
699,"$4,000.00",Energy,Torbjorn Tornqvist,69,Switzerland,Geneva,Oil trading,Energy,Sweden,TRUE,U,M,Tornqvist,Torbjorn,,1953,11,8
699,"$4,000.00",Metals & Mining,Rufino Vigil Gonzalez,74,Mexico,Mexico City,Steel,Metals & Mining,Mexico,TRUE,U,M,Vigil Gonzalez,Rufino,,1948,6,1
699,"$4,000.00",Diversified,Zhang Daocai,73,China,Shaoxing,Valves,Diversified,China,TRUE,U,M,Zhang,Daocai,,1950,1,1
721,"$3,900.00",Manufacturing,Juergen Blickle,76,Germany,Bruchsal,Auto parts,Manufacturing,Germany,FALSE,D,M,Blickle,Juergen,,1947,1,1
721,"$3,900.00",Food & Beverage,"Austen Cargill, II.",72,United States,Livingston,Cargill,Food & Beverage,United States,FALSE,D,M,Cargill,Austen,,1951,3,9
721,"$3,900.00",Food & Beverage,"James Cargill, II.",73,United States,Birchwood,Cargill,Food & Beverage,United States,FALSE,D,M,Cargill,James,,1949,4,7
721,"$3,900.00",Finance & Investments,Vanich Chaiyawan,91,Thailand,Bangkok,"Insurance, beverages",Finance & Investments,Thailand,TRUE,U,M,Chaiyawan,Vanich,,1932,1,1
721,"$3,900.00",Finance & Investments,Chen Dongsheng,65,China,Beijing,Insurance,Finance & Investments,China,TRUE,U,M,Chen,Dongsheng,,1957,12,1
721,"$3,900.00",Automotive,Mong-Koo Chung,85,South Korea,Seoul,Hyundai,Automotive,South Korea,FALSE,D,M,Chung,Mong-Koo,,1938,3,19
721,"$3,900.00",Finance & Investments,Kenneth Dart,67,Cayman Islands,George Town,Investments,Finance & Investments,Belize,FALSE,U,M,Dart,Kenneth,,1955,4,21
721,"$3,900.00",Fashion & Retail,Giuseppe De'Longhi & family,83,Italy,Treviso,Coffee makers,Fashion & Retail,Italy,FALSE,D,M,De'Longhi,Giuseppe,,1939,4,24
721,"$3,900.00",Healthcare,Guenther Fielmann & family,83,Germany,Hamburg,Optometry,Healthcare,Germany,TRUE,D,M,Fielmann,Guenther,,1939,9,17
721,"$3,900.00",Energy,W. Herbert Hunt,94,United States,Dallas,Oil,Energy,United States,FALSE,D,M,Hunt,W. Herbert,Investor,1929,3,6
721,"$3,900.00",Sports,James Irsay,63,United States,Carmel,Indianapolis Colts,Sports,United States,FALSE,U,M,Irsay,James,CEO,1959,6,13
721,"$3,900.00",Diversified,Somurai Jaruphnit,,Thailand,Bangkok,Diversified,Diversified,Thailand,FALSE,N,F,Jaruphnit,Somurai,,,,
721,"$3,900.00",Food & Beverage,Marianne Liebmann,69,United States,Bozeman,Cargill,Food & Beverage,United States,FALSE,D,F,Liebmann,Marianne,,1953,7,11
721,"$3,900.00",Healthcare,Jorge Moll Filho & family,78,Brazil,Rio de Janeiro,Hospitals,Healthcare,Brazil,TRUE,D,M,Moll Filho,Jorge,,1945,1,1
721,"$3,900.00",Diversified,Fernando Roberto Moreira Salles,76,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,FALSE,U,M,Moreira Salles,Fernando Roberto,,1946,5,29
721,"$3,900.00",Diversified,Pedro Moreira Salles,63,Brazil,Sao Paulo,"Banking, minerals",Diversified,Brazil,FALSE,U,M,Moreira Salles,Pedro,,1959,10,20
721,"$3,900.00",Gambling & Casinos,Gabe Newell,60,United States,Seattle,Videogames,Gambling & Casinos,United States,TRUE,E,M,Newell,Gabe,Cofounder and CEO,1962,11,3
721,"$3,900.00",Fashion & Retail,Alfred Oetker,56,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,FALSE,U,M,Oetker,Alfred,,1967,1,1
721,"$3,900.00",Fashion & Retail,Carl Ferdinand Oetker,50,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,FALSE,U,M,Oetker,Carl Ferdinand,,1972,10,3
721,"$3,900.00",Fashion & Retail,Julia Oetker,44,Germany,Bielefeld,Consumer goods,Fashion & Retail,Germany,FALSE,U,F,Oetker,Julia,,1979,1,26
721,"$3,900.00",Manufacturing,Ruan Hongliang & family,62,China,Jiaxing,Glass,Manufacturing,China,TRUE,D,M,Ruan,Hongliang,,1961,1,1
721,"$3,900.00",Finance & Investments,Mark Stevens,63,United States,Steamboat Springs,Venture capital,Finance & Investments,United States,TRUE,D,M,Stevens,Mark,,1960,2,17
721,"$3,900.00",Finance & Investments,Tsai Hong-tu,70,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,FALSE,D,M,Tsai,Hong-tu,,1952,8,1
721,"$3,900.00",Food & Beverage,Nusli Wadia,79,India,Mumbai,Consumer goods,Food & Beverage,India,FALSE,U,M,Wadia,Nusli,,1944,2,15
721,"$3,900.00",Healthcare,Wu Yiling,73,China,Shijiazhuang,Pharmaceuticals,Healthcare,China,TRUE,E,M,Wu,Yiling,,1949,10,24
721,"$3,900.00",Manufacturing,Yu Renrong,57,China,Ningbo,Semiconductors,Manufacturing,China,TRUE,D,M,Yu,Renrong,,1966,4,1
721,"$3,900.00",Healthcare,Zhu Baoguo & family,60,China,Shenzhen,Pharmaceuticals,Healthcare,China,TRUE,D,M,Zhu,Baoguo,,1962,4,25
748,"$3,800.00",Service,Rahul Bhatia,63,India,Delhi,Aviation,Service,India,FALSE,Split Family Fortune,M,Bhatia,Rahul,,1959,6,10
748,"$3,800.00",Construction & Engineering,Francesco Gaetano Caltagirone,80,Italy,Rome,"Cement, diversified",Construction & Engineering,Italy,TRUE,D,M,Caltagirone,Francesco Gaetano,,1943,3,21
748,"$3,800.00",Media & Entertainment,Barry Diller,81,United States,New York,Online media,Media & Entertainment,United States,TRUE,D,M,Diller,Barry,,1942,2,2
748,"$3,800.00",Finance & Investments,Wesley Edens,61,United States,New York,Investments,Finance & Investments,United States,TRUE,U,M,Edens,Wesley,,1961,10,31
748,"$3,800.00",Finance & Investments,Stephen Feinberg,63,United States,New York,Private equity,Finance & Investments,United States,TRUE,U,M,Feinberg,Stephen,Co-founder and CEO,1960,3,29
748,"$3,800.00",Service,Rakesh Gangwal,69,United States,Miami,Airline,Service,United States,TRUE,D,M,Gangwal,Rakesh,,1953,7,25
748,"$3,800.00",Food & Beverage,Joseph Grendys,61,United States,Chicago,Poultry processing,Food & Beverage,United States,TRUE,U,M,Grendys,Joseph,,1961,12,1
748,"$3,800.00",Media & Entertainment,Martha Ingram & family,87,United States,Nashville,"Book distribution, transportation",Media & Entertainment,United States,FALSE,D,F,Ingram,Martha,Former Chairman,1935,8,20
748,"$3,800.00",Automotive,Li Xiang,41,China,Beijing,Electric vehicles,Automotive,China,TRUE,D,M,Li,Xiang,,1981,10,1
748,"$3,800.00",Real Estate,"H. Ross Perot, Jr.",64,United States,Dallas,Real estate,Real Estate,United States,FALSE,U,M,Perot,H. Ross,,1958,11,7
748,"$3,800.00",Real Estate,Chandru Raheja,82,India,Mumbai,Real estate,Real Estate,India,FALSE,U,M,Raheja,Chandru,,1940,10,1
748,"$3,800.00",Energy,Trevor Rees-Jones,71,United States,Dallas,Oil & gas,Energy,United States,TRUE,D,M,Rees-Jones,Trevor,,1951,8,12
748,"$3,800.00",Telecom,Yasumitsu Shigeta,58,Japan,Tokyo,Mobile phone retailer,Telecom,Japan,TRUE,U,M,Shigeta,Yasumitsu,,1965,2,25
748,"$3,800.00",Healthcare,Su Qingcan,54,China,Xiamen,Healthcare,Healthcare,China,TRUE,N,M,Su,Qingcan,,1969,1,1
748,"$3,800.00",Finance & Investments,Tsai Cheng-ta,73,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,FALSE,D,M,Tsai,Cheng-ta,,1950,4,1
748,"$3,800.00",Service,Steven Udvar-Hazy,77,United States,Westlake,Aircraft leasing,Service,United States,TRUE,D,M,Udvar-Hazy,Steven,CEO and Chairman,1946,2,23
748,"$3,800.00",Manufacturing,Elizabeth Uihlein,77,United States,Lake Forest,Packaging materials,Manufacturing,United States,TRUE,N,F,Uihlein,Elizabeth,Entrepreneur,1945,7,7
748,"$3,800.00",Manufacturing,Richard Uihlein,77,United States,Lake Forest,Packaging materials,Manufacturing,United States,TRUE,N,M,Uihlein,Richard,,1945,8,27
766,"$3,700.00",Finance & Investments,Hayes Barnard,51,United States,Austin,Fintech,Finance & Investments,United States,TRUE,N,M,Barnard,Hayes,,1972,2,15
766,"$3,700.00",Finance & Investments,William Berkley,76,United States,Coconut Grove,Insurance,Finance & Investments,United States,TRUE,E,M,Berkley,William,Chairman and CEO,1946,9,1
766,"$3,700.00",Real Estate,Charles Cohen,71,United States,New York,Real estate,Real Estate,United States,FALSE,U,M,Cohen,Charles,,1952,2,8
766,"$3,700.00",Real Estate,Yakir Gabay,56,United Kingdom,London,Real estate,Real Estate,Cyprus,TRUE,D,M,Gabay,Yakir,,1966,4,13
766,"$3,700.00",Technology,Huang Li,59,China,Wuhan,Imaging systems,Technology,China,TRUE,D,M,Huang,Li,,1963,6,27
766,"$3,700.00",Logistics,Brad Jacobs,66,United States,Greenwich,Logistics,Logistics,United States,TRUE,E,M,Jacobs,Brad,,1956,7,1
766,"$3,700.00",Real Estate,Ji Qi,56,China,Shanghai,"Hotels, motels",Real Estate,China,TRUE,U,M,Ji,Qi,,1966,10,1
766,"$3,700.00",Media & Entertainment,Jason Jiang,50,China,Shanghai,Advertising,Media & Entertainment,Singapore,TRUE,D,M,Jiang,Jason,,1973,1,1
766,"$3,700.00",Technology,Jim Kavanaugh,60,United States,St. Louis,IT provider,Technology,United States,TRUE,U,M,Kavanaugh,Jim,,1962,10,17
766,"$3,700.00",Real Estate,Richard LeFrak & family,77,United States,New York,Real estate,Real Estate,United States,FALSE,E,M,LeFrak,Richard,,1945,8,29
766,"$3,700.00",Finance & Investments,Mikhail Lomtadze,47,Kazakhstan,Almaty,Fintech,Finance & Investments,Georgia,TRUE,U,M,Lomtadze,Mikhail,,1975,10,17
766,"$3,700.00",Fashion & Retail,Tom Morris,68,United Kingdom,Merseyside,Retail,Fashion & Retail,United Kingdom,TRUE,U,M,Morris,Tom,,1954,10,2
766,"$3,700.00",Manufacturing,Shigenobu Nagamori,78,Japan,Kyoto,Motors,Manufacturing,Japan,TRUE,D,M,Nagamori,Shigenobu,,1944,8,28
766,"$3,700.00",Finance & Investments,Daniel Och,62,United States,Miami Beach,Hedge funds,Finance & Investments,United States,TRUE,D,M,Och,Daniel,Founder,1961,1,27
766,"$3,700.00",Fashion & Retail,Horst Paulmann & family,88,Chile,Santiago,Retail,Fashion & Retail,Chile,TRUE,U,M,Paulmann,Horst,,1935,1,1
766,"$3,700.00",Service,Anthony Pritzker,62,United States,Los Angeles,"Hotels, investments",Service,United States,FALSE,E,M,Pritzker,Anthony,,1961,1,7
766,"$3,700.00",Technology,John Sall,75,United States,Cary,Software,Technology,United States,TRUE,U,M,Sall,John,"Co-Founder, Executive Vice President",1948,4,4
766,"$3,700.00",Food & Beverage,Howard Schultz,69,United States,Seattle,Starbucks,Food & Beverage,United States,TRUE,D,M,Schultz,Howard,,1953,7,19
766,"$3,700.00",Fashion & Retail,Richard Schulze,82,United States,Naples,Best Buy,Fashion & Retail,United States,TRUE,D,M,Schulze,Richard,Chairman,1941,1,2
766,"$3,700.00",Real Estate,Yitzhak Tshuva,74,Israel,Netanya,Real estate,Real Estate,Israel,TRUE,D,M,Tshuva,Yitzhak,,1948,7,7
766,"$3,700.00",Manufacturing,Wang Yanqing & family,56,China,Wuxi,Electrical equipment,Manufacturing,China,TRUE,D,M,Wang,Yanqing,,1966,4,7
787,"$3,600.00",Diversified,Rajiv Bajaj,56,India,Pune,Diversified,Diversified,India,FALSE,Split Family Fortune,M,Bajaj,Rajiv,,1966,12,21
787,"$3,600.00",Diversified,Sanjiv Bajaj,53,India,Pune,Diversified,Diversified,India,FALSE,Split Family Fortune,M,Bajaj,Sanjiv,,1969,11,2
